date,surface_pressure,temperature_2m,total_evaporation_sum,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1
06-12-2010,90590.73242,291.3889942,-0.002640691,0.001022103,0.01733462,-3.65035065,0.390506109
07-12-2010,90557.77962,292.6878859,-0.0014381,0.000704178,1.060605367,-1.786245584,0.394739787
08-12-2010,90644.96468,293.8711758,-0.001925999,0.002345411,1.451648076,-0.578105927,0.406262716
09-12-2010,90736.71175,293.9727732,-0.002347925,0.00079957,1.804036458,0.091763417,0.41051801
10-12-2010,90793.02409,293.7284533,-0.003318211,2.15E-06,1.794996262,0.618008534,0.399173737
11-12-2010,90762.94775,293.8647474,-0.002816156,0.000109812,2.036776225,0.101874669,0.387715658
12-12-2010,90704.28906,293.3226121,-0.002605051,4.30E-05,1.115733703,0.511605581,0.378848394
13-12-2010,90836.60417,293.7152608,-0.00251678,0.000109422,-0.412136952,0.271491369,0.371323268
14-12-2010,90917.28809,294.0890859,-0.002383132,0.001700449,-1.354399999,0.345355988,0.370491028
15-12-2010,90947.01107,293.6111558,-0.002471676,0.003493118,-2.444308599,-0.335749308,0.390049616
16-12-2010,90993.9943,292.8342845,-0.001716633,0.002438446,-2.352558136,-0.480403264,0.415911992
17-12-2010,91017.09261,293.2535229,-0.002098305,0.001109987,-2.311964035,-0.104130427,0.41629982
18-12-2010,91006.90755,292.4936034,-0.002704099,1.17E-05,-1.753506382,-1.378085216,0.404566447
19-12-2010,91107.33154,292.3397204,-0.002491111,0.00010525,-3.080975572,-1.079567671,0.391724904
20-12-2010,91198.77197,291.9438699,-0.001233495,0.000926062,-2.722967784,-2.048946659,0.389518738
21-12-2010,91055.7876,292.1977596,-0.0033883,0,-2.149624944,-1.408040285,0.379764557
22-12-2010,90875.07959,290.586181,-0.003520245,8.68E-07,-1.419740677,-1.374950409,0.365907669
23-12-2010,90912.25618,290.9530907,-0.003216993,8.49E-07,-1.478394826,-0.343854904,0.354053497
24-12-2010,90946.10042,290.5348479,-0.00296331,1.11E-06,-1.771324158,-0.430152893,0.344183604
25-12-2010,90942.83626,291.3438689,-0.002871211,0,-2.115390778,0.150613785,0.335280101
26-12-2010,90982.90983,291.7710724,-0.002938684,2.14E-06,-2.253714244,0.306570689,0.326999029
27-12-2010,90986.13265,291.6571859,-0.002797529,0,-2.303046544,0.233348211,0.319442113
28-12-2010,91006.10221,292.121102,-0.002613215,0.001164836,-2.776863416,-0.06446902,0.316841125
29-12-2010,91044.43099,292.5397669,-0.001509392,0.00067794,-2.137537638,0.341048559,0.329564412
30-12-2010,90997.47005,292.9376825,-0.002429658,7.32E-05,-1.636262576,0.348394871,0.324164073
01-01-2011,90807.02946,294.4986178,-0.002528574,5.05E-06,-1.110708753,0.265426199,0.309837977
02-01-2011,90858.59701,294.7653052,-0.002398783,0.00011521,-1.554764469,0.365924835,0.304456711
03-01-2011,90950.06999,293.9933891,-0.001904556,0.000927931,-3.170980175,-0.056563377,0.30522728
04-01-2011,90977.04704,293.7973576,-0.001711033,1.54E-05,-3.302363714,-0.581302643,0.304170609
05-01-2011,90909.43831,292.9270433,-0.001021218,0.000153923,-2.769218405,-1.259387692,0.302005132
06-01-2011,90939.7321,293.8128147,-0.002504476,8.58E-07,-2.394153953,-1.282300949,0.297850291
07-01-2011,90885.66732,294.031922,-0.002563575,2.15E-06,-2.1498909,-1.154523492,0.292423248
08-01-2011,90801.14827,294.3025169,-0.002650803,4.26E-07,-1.499844869,-1.491665324,0.287511826
09-01-2011,90854.55306,294.1430136,-0.002676562,8.52E-07,-1.848544717,-1.262502948,0.283095678
10-01-2011,90935.59098,293.5452035,-0.002707794,2.15E-06,-1.586462021,-1.851909637,0.279204051
11-01-2011,90945.10807,292.5012328,-0.002717372,8.53E-07,-1.513920625,-1.678156535,0.275656382
12-01-2011,90921.63314,292.2131297,-0.002615657,8.52E-07,-2.181076686,-0.795298258,0.272503535
13-01-2011,90981.64209,292.5606397,-0.00254192,8.55E-07,-2.403578679,-1.131136258,0.26954778
14-01-2011,91033.33496,292.485007,-0.002455005,1.30E-06,-2.837696711,-0.792223454,0.267030716
15-01-2011,91133.00439,293.0279458,-0.002245346,2.14E-06,-2.652296702,-0.082410892,0.264921188
